Demographic_key,Age_group,Socio_economic_status,Vaccination_rate,Housing_type
1172,Elderly (65+),High Income,85.95,Urban
1173,Adults (15-64),High Income,52.93,Urban
1174,Children (0-14),Middle Income,42.57,Rural
1175,Adults (15-64),Low Income,89.26,Urban
1176,Elderly (65+),Middle Income,66.12,Urban
1177,Adults (15-64),High Income,40.59,Rural
1178,Elderly (65+),Low Income,70.63,Semi-urban
1179,Elderly (65+),Middle Income,56.04,Rural
1180,Elderly (65+),High Income,46.21,Rural
1181,Adults (15-64),Low Income,46.08,Semi-urban
1182,Elderly (65+),High Income,58.84,Semi-urban
1183,Adults (15-64),Middle Income,69.21,Rural
1184,Children (0-14),Middle Income,81.72,Urban
1185,Adults (15-64),Low Income,85.91,Urban
1186,Elderly (65+),Middle Income,66.81,Rural
1187,Elderly (65+),Low Income,91.1,Rural
1188,Elderly (65+),High Income,93.26,Urban
1189,Children (0-14),Low Income,63.41,Urban
1190,Adults (15-64),Middle Income,71.5,Semi-urban
1191,Elderly (65+),Low Income,69.44,Rural
1192,Children (0-14),Middle Income,52.78,Rural
1193,Children (0-14),Low Income,73.34,Rural
1194,Adults (15-64),High Income,49.97,Semi-urban
1195,Elderly (65+),Low Income,94.22,Semi-urban
1196,Adults (15-64),Low Income,49.79,Rural
1197,Adults (15-64),High Income,50.46,Urban
1198,Children (0-14),High Income,86.47,Rural
1199,Elderly (65+),High Income,46.48,Urban
1200,Children (0-14),Low Income,49.62,Urban
1201,Elderly (65+),Low Income,55.78,Semi-urban
1202,Children (0-14),Middle Income,72.44,Urban
1203,Elderly (65+),Low Income,77.32,Rural
1204,Elderly (65+),Low Income,82.15,Semi-urban
1205,Elderly (65+),High Income,48.79,Rural
1206,Children (0-14),Low Income,87.38,Semi-urban
1207,Elderly (65+),Middle Income,64.71,Semi-urban
1208,Children (0-14),Low Income,76.51,Urban
1209,Children (0-14),High Income,90.49,Urban
1210,Adults (15-64),High Income,77.11,Semi-urban
1211,Elderly (65+),High Income,73.37,Urban
1212,Elderly (65+),Middle Income,52.48,Semi-urban
1213,Elderly (65+),High Income,68.94,Urban
1214,Children (0-14),High Income,49.37,Semi-urban
1215,Adults (15-64),Low Income,69.71,Semi-urban
1216,Adults (15-64),Middle Income,49.3,Rural
1217,Adults (15-64),High Income,42.43,Semi-urban
1218,Adults (15-64),Middle Income,87.91,Rural
1219,Children (0-14),High Income,81.67,Rural
1220,Adults (15-64),Middle Income,40.95,Semi-urban
1221,Adults (15-64),High Income,46.79,Urban
1222,Children (0-14),High Income,81.59,Rural
1223,Elderly (65+),High Income,42.92,Semi-urban
1224,Children (0-14),Middle Income,45.25,Urban
1225,Adults (15-64),High Income,77.37,Urban
1226,Adults (15-64),High Income,84.57,Urban
1227,Children (0-14),High Income,68.43,Rural
1228,Elderly (65+),Low Income,64.88,Urban
1229,Adults (15-64),High Income,42.3,Rural
1230,Adults (15-64),High Income,93.77,Urban
1231,Elderly (65+),High Income,65.86,Urban
1232,Adults (15-64),Middle Income,84.66,Urban
1233,Adults (15-64),Low Income,77.19,Semi-urban
1234,Children (0-14),Low Income,45.09,Rural
1235,Elderly (65+),Low Income,68.74,Rural
1236,Elderly (65+),High Income,90.28,Urban
1237,Adults (15-64),Low Income,62.39,Rural
1238,Elderly (65+),High Income,48.07,Urban
1239,Children (0-14),Low Income,92.89,Rural
1240,Children (0-14),High Income,43.55,Semi-urban
1241,Adults (15-64),Low Income,43.86,Rural
1242,Elderly (65+),High Income,63.76,Urban
1243,Elderly (65+),Middle Income,57.48,Rural
1244,Children (0-14),Low Income,88.42,Semi-urban
1245,Children (0-14),Middle Income,71.62,Semi-urban
1246,Adults (15-64),High Income,84.01,Urban
1247,Adults (15-64),Low Income,41.79,Urban
1248,Children (0-14),High Income,79.72,Semi-urban
1249,Adults (15-64),High Income,57.03,Urban
1250,Children (0-14),Middle Income,62.49,Rural
1251,Elderly (65+),Low Income,92.72,Semi-urban
1252,Children (0-14),High Income,68.71,Rural
1253,Children (0-14),Middle Income,41.37,Rural
1254,Children (0-14),High Income,52.28,Semi-urban
1255,Elderly (65+),Middle Income,85.74,Urban
1256,Elderly (65+),High Income,59.11,Semi-urban
1257,Elderly (65+),Low Income,57.75,Urban
1258,Elderly (65+),Low Income,91.97,Urban
1259,Elderly (65+),Low Income,83.43,Rural
1260,Elderly (65+),Low Income,84.74,Urban
1261,Adults (15-64),High Income,48.11,Semi-urban
1262,Children (0-14),High Income,90.7,Semi-urban
1263,Elderly (65+),Low Income,67.64,Urban
1264,Elderly (65+),High Income,68.85,Semi-urban
1265,Children (0-14),Low Income,62.94,Rural
1266,Adults (15-64),Middle Income,59.69,Urban
1267,Elderly (65+),High Income,49.45,Urban
1268,Children (0-14),Middle Income,79.02,Urban
1269,Elderly (65+),Low Income,78.13,Rural
1270,Adults (15-64),Middle Income,59.81,Rural
1271,Adults (15-64),Low Income,41.54,Semi-urban
1272,Children (0-14),High Income,77.63,Semi-urban
1273,Elderly (65+),High Income,53.68,Urban
1274,Elderly (65+),Low Income,59.4,Urban
1275,Elderly (65+),Middle Income,79.7,Rural
1276,Children (0-14),High Income,90.0,Rural
1277,Children (0-14),High Income,49.63,Semi-urban
1278,Adults (15-64),Middle Income,48.18,Urban
1279,Adults (15-64),Low Income,67.23,Rural
1280,Elderly (65+),Middle Income,71.21,Urban
1281,Adults (15-64),High Income,81.55,Rural
1282,Elderly (65+),Low Income,63.01,Rural
1283,Elderly (65+),Low Income,79.17,Urban
1284,Elderly (65+),Middle Income,89.19,Urban
1285,Adults (15-64),High Income,72.34,Urban
1286,Children (0-14),Middle Income,93.4,Urban
1287,Children (0-14),Middle Income,48.59,Urban
1288,Children (0-14),Middle Income,73.99,Semi-urban
1289,Adults (15-64),Middle Income,75.52,Semi-urban
1290,Elderly (65+),Middle Income,85.02,Rural
1291,Children (0-14),Middle Income,78.34,Semi-urban
1292,Adults (15-64),High Income,70.43,Rural
1293,Adults (15-64),Middle Income,85.37,Urban
1294,Elderly (65+),Middle Income,44.05,Urban
1295,Elderly (65+),Low Income,71.23,Semi-urban
1296,Adults (15-64),Middle Income,58.97,Semi-urban
1297,Adults (15-64),Low Income,73.34,Urban
1298,Elderly (65+),Middle Income,91.27,Urban
1299,Children (0-14),High Income,67.49,Urban
1300,Children (0-14),Middle Income,78.15,Rural
1301,Elderly (65+),High Income,76.25,Semi-urban
1302,Adults (15-64),Low Income,79.89,Semi-urban
1303,Children (0-14),Low Income,89.02,Semi-urban
1304,Elderly (65+),Middle Income,80.05,Semi-urban
1305,Adults (15-64),High Income,72.16,Urban
1306,Children (0-14),Low Income,84.56,Urban
1307,Children (0-14),Middle Income,62.81,Semi-urban
1308,Adults (15-64),Low Income,85.29,Rural
1309,Adults (15-64),Low Income,60.15,Rural
1310,Adults (15-64),Low Income,50.76,Rural
1311,Adults (15-64),High Income,87.51,Rural
1312,Elderly (65+),Middle Income,51.05,Urban
1313,Elderly (65+),High Income,66.73,Urban
1314,Elderly (65+),High Income,89.09,Semi-urban
1315,Elderly (65+),Middle Income,52.96,Semi-urban
1316,Elderly (65+),High Income,41.16,Semi-urban
1317,Elderly (65+),High Income,65.44,Rural
1318,Adults (15-64),Middle Income,59.07,Rural
1319,Adults (15-64),Middle Income,62.48,Urban
1320,Children (0-14),Low Income,80.28,Semi-urban
1321,Elderly (65+),High Income,44.53,Rural
1322,Adults (15-64),High Income,57.72,Urban
1323,Adults (15-64),Middle Income,71.75,Rural
1324,Adults (15-64),Low Income,67.8,Urban
1325,Children (0-14),Middle Income,70.8,Semi-urban
1326,Children (0-14),High Income,78.93,Rural
1327,Elderly (65+),High Income,82.19,Semi-urban
1328,Adults (15-64),Low Income,46.96,Rural
1329,Adults (15-64),High Income,78.12,Semi-urban
1330,Children (0-14),High Income,42.98,Urban
1331,Elderly (65+),High Income,56.38,Semi-urban
1332,Children (0-14),Middle Income,40.48,Rural
1333,Children (0-14),Middle Income,59.62,Urban
1334,Children (0-14),Middle Income,41.84,Rural
1335,Elderly (65+),Low Income,85.85,Urban
1336,Elderly (65+),Low Income,67.21,Urban
1337,Adults (15-64),Low Income,53.14,Urban
1338,Children (0-14),High Income,71.57,Semi-urban
1339,Children (0-14),Middle Income,67.57,Urban
1340,Elderly (65+),Middle Income,73.5,Urban
1341,Elderly (65+),High Income,48.97,Semi-urban
1342,Elderly (65+),High Income,45.91,Urban
1343,Elderly (65+),Middle Income,63.85,Urban
1344,Adults (15-64),High Income,68.19,Semi-urban
1345,Elderly (65+),High Income,45.39,Semi-urban
1346,Children (0-14),Low Income,50.64,Urban
1347,Adults (15-64),Middle Income,52.89,Urban
1348,Children (0-14),Middle Income,62.68,Rural
1349,Elderly (65+),High Income,69.57,Urban
1350,Adults (15-64),Middle Income,41.41,Semi-urban
1351,Elderly (65+),Low Income,92.26,Urban
1352,Adults (15-64),High Income,61.03,Semi-urban
1353,Elderly (65+),High Income,78.27,Urban
1354,Adults (15-64),Middle Income,68.85,Rural
1355,Adults (15-64),Low Income,70.52,Rural
1356,Adults (15-64),High Income,56.54,Urban
1357,Elderly (65+),High Income,72.67,Urban
1358,Children (0-14),High Income,83.77,Rural
1359,Adults (15-64),Low Income,72.19,Semi-urban
1360,Children (0-14),Middle Income,87.14,Semi-urban
1361,Children (0-14),Middle Income,73.31,Rural
1362,Elderly (65+),High Income,73.59,Rural
1363,Children (0-14),Middle Income,62.1,Rural
1364,Elderly (65+),Middle Income,80.21,Urban
1365,Adults (15-64),Middle Income,42.75,Semi-urban
1366,Elderly (65+),Middle Income,81.79,Semi-urban
1367,Children (0-14),High Income,45.25,Urban
1368,Adults (15-64),Low Income,63.14,Urban
1369,Adults (15-64),Low Income,50.43,Rural
1370,Elderly (65+),High Income,85.11,Semi-urban
1371,Elderly (65+),Low Income,83.63,Urban
1372,Children (0-14),High Income,90.7,Semi-urban
1373,Children (0-14),Middle Income,69.89,Rural
1374,Elderly (65+),Middle Income,76.8,Semi-urban
1375,Children (0-14),High Income,77.79,Rural
1376,Children (0-14),High Income,67.56,Rural
1377,Adults (15-64),Middle Income,59.86,Urban
1378,Children (0-14),Middle Income,61.42,Semi-urban
1379,Children (0-14),High Income,47.59,Urban
1380,Elderly (65+),Middle Income,47.16,Urban
1381,Adults (15-64),High Income,79.21,Rural
1382,Children (0-14),Low Income,49.24,Rural
1383,Elderly (65+),Middle Income,75.92,Semi-urban
1384,Elderly (65+),Low Income,65.63,Rural
1385,Elderly (65+),Low Income,54.67,Rural
1386,Children (0-14),Middle Income,68.69,Urban
1387,Elderly (65+),Low Income,67.83,Rural
1388,Elderly (65+),Middle Income,64.86,Semi-urban
1389,Children (0-14),Middle Income,92.6,Semi-urban
1390,Children (0-14),Middle Income,89.27,Semi-urban
1391,Adults (15-64),High Income,71.48,Rural
1392,Elderly (65+),Low Income,88.1,Rural
1393,Children (0-14),Middle Income,77.53,Urban
1394,Elderly (65+),Low Income,64.4,Urban
1395,Children (0-14),Low Income,89.42,Urban
1396,Adults (15-64),High Income,86.39,Urban
1397,Children (0-14),Middle Income,61.7,Semi-urban
1398,Adults (15-64),High Income,86.46,Rural
1399,Children (0-14),High Income,88.39,Rural
1400,Elderly (65+),Middle Income,91.94,Semi-urban
1401,Adults (15-64),Low Income,46.34,Rural
1402,Adults (15-64),Low Income,60.19,Semi-urban
1403,Adults (15-64),High Income,62.92,Semi-urban
1404,Children (0-14),Middle Income,60.58,Semi-urban
1405,Adults (15-64),High Income,84.55,Urban
1406,Adults (15-64),High Income,40.32,Urban
1407,Elderly (65+),Low Income,82.93,Semi-urban
1408,Children (0-14),Middle Income,73.72,Rural
1409,Children (0-14),Middle Income,55.45,Urban
1410,Adults (15-64),Low Income,58.04,Semi-urban
1411,Adults (15-64),Middle Income,52.93,Rural
1412,Adults (15-64),Middle Income,91.7,Rural
1413,Children (0-14),High Income,77.31,Semi-urban
1414,Adults (15-64),High Income,74.7,Semi-urban
1415,Children (0-14),High Income,90.56,Rural
1416,Children (0-14),Low Income,75.94,Semi-urban
1417,Children (0-14),Low Income,71.18,Urban
1418,Children (0-14),Middle Income,75.07,Urban
1419,Children (0-14),High Income,68.57,Semi-urban
1420,Adults (15-64),Low Income,59.44,Urban
1421,Elderly (65+),Low Income,74.19,Rural
1422,Adults (15-64),Middle Income,62.17,Semi-urban
1423,Elderly (65+),High Income,44.11,Rural
1424,Adults (15-64),High Income,93.02,Rural
1425,Children (0-14),Middle Income,53.21,Rural
1426,Children (0-14),Middle Income,66.26,Semi-urban
1427,Adults (15-64),Middle Income,72.04,Rural
1428,Children (0-14),High Income,56.02,Semi-urban
1429,Adults (15-64),Low Income,65.7,Urban
1430,Elderly (65+),Middle Income,72.55,Semi-urban
1431,Children (0-14),Middle Income,59.32,Rural
1432,Adults (15-64),High Income,69.79,Urban
1433,Adults (15-64),Low Income,74.97,Rural
1434,Elderly (65+),High Income,51.22,Urban
1435,Elderly (65+),Low Income,41.32,Semi-urban
1436,Elderly (65+),High Income,92.01,Urban
1437,Elderly (65+),High Income,74.32,Rural
1438,Children (0-14),High Income,48.88,Rural
1439,Children (0-14),Low Income,93.8,Urban
1440,Adults (15-64),Low Income,66.55,Rural
1441,Children (0-14),Low Income,57.43,Semi-urban
1442,Elderly (65+),Middle Income,92.85,Rural
1443,Adults (15-64),Low Income,50.96,Rural
1444,Children (0-14),High Income,41.14,Rural
1445,Adults (15-64),Middle Income,83.3,Semi-urban
1446,Elderly (65+),Low Income,89.01,Urban
1447,Adults (15-64),Middle Income,52.59,Rural
1448,Children (0-14),High Income,86.94,Semi-urban
1449,Adults (15-64),Low Income,83.81,Urban
1450,Adults (15-64),Middle Income,67.34,Urban
1451,Elderly (65+),Middle Income,86.52,Semi-urban
1452,Adults (15-64),Low Income,40.49,Urban
1453,Children (0-14),High Income,66.45,Urban
1454,Elderly (65+),Middle Income,82.19,Urban
1455,Adults (15-64),High Income,77.61,Rural
1456,Children (0-14),Middle Income,63.93,Semi-urban
1457,Adults (15-64),High Income,77.54,Urban
1458,Adults (15-64),High Income,42.49,Urban
1459,Children (0-14),Middle Income,59.78,Semi-urban
1460,Elderly (65+),High Income,78.87,Semi-urban
1461,Elderly (65+),High Income,76.74,Rural
1462,Adults (15-64),Middle Income,76.26,Urban
1463,Adults (15-64),Middle Income,45.66,Semi-urban
1464,Children (0-14),Low Income,58.06,Urban
1465,Elderly (65+),Low Income,79.13,Urban
1466,Elderly (65+),Low Income,94.39,Semi-urban
1467,Children (0-14),Middle Income,79.53,Urban
1468,Elderly (65+),Low Income,78.71,Urban
1469,Children (0-14),High Income,62.44,Urban
1470,Elderly (65+),Low Income,82.11,Semi-urban
1471,Adults (15-64),Low Income,71.48,Rural
1472,Elderly (65+),Middle Income,76.83,Urban
1473,Adults (15-64),Middle Income,78.84,Rural
1474,Children (0-14),Middle Income,74.91,Rural
1475,Children (0-14),Low Income,86.91,Semi-urban
1476,Children (0-14),Middle Income,80.36,Urban
1477,Children (0-14),Middle Income,90.23,Rural
1478,Elderly (65+),High Income,61.92,Semi-urban
1479,Children (0-14),Low Income,66.73,Rural
1480,Children (0-14),Low Income,43.14,Semi-urban
1481,Elderly (65+),High Income,55.4,Urban
1482,Adults (15-64),High Income,41.66,Rural
1483,Adults (15-64),Low Income,42.61,Urban
1484,Adults (15-64),Middle Income,48.32,Urban
1485,Adults (15-64),Middle Income,78.17,Urban
1486,Children (0-14),Low Income,45.12,Semi-urban
1487,Children (0-14),Low Income,70.36,Urban
1488,Children (0-14),High Income,56.16,Semi-urban
1489,Elderly (65+),High Income,75.28,Semi-urban
1490,Elderly (65+),High Income,55.62,Rural
1491,Children (0-14),Low Income,73.2,Rural
1492,Adults (15-64),High Income,47.71,Urban
1493,Elderly (65+),Low Income,63.26,Semi-urban
1494,Elderly (65+),Middle Income,68.43,Rural
1495,Elderly (65+),Low Income,77.66,Semi-urban
1496,Elderly (65+),Middle Income,56.49,Rural
1497,Elderly (65+),High Income,60.01,Semi-urban
1498,Adults (15-64),High Income,83.9,Semi-urban
1499,Children (0-14),Middle Income,94.97,Semi-urban
1500,Children (0-14),Low Income,71.21,Urban
1501,Adults (15-64),High Income,44.83,Urban
1502,Elderly (65+),High Income,43.05,Semi-urban
1503,Adults (15-64),Middle Income,53.48,Semi-urban
1504,Children (0-14),Low Income,78.41,Urban
1505,Elderly (65+),Low Income,63.1,Semi-urban
1506,Elderly (65+),Middle Income,83.32,Rural
1507,Adults (15-64),Low Income,80.21,Semi-urban
1508,Adults (15-64),High Income,41.73,Urban
1509,Children (0-14),Low Income,71.34,Urban
1510,Adults (15-64),Middle Income,88.04,Urban
1511,Elderly (65+),High Income,81.39,Rural
1512,Elderly (65+),Middle Income,65.99,Rural
1513,Adults (15-64),Low Income,70.33,Urban
1514,Children (0-14),Middle Income,63.44,Semi-urban
1515,Elderly (65+),Low Income,90.56,Urban
1516,Children (0-14),Middle Income,50.04,Rural
1517,Adults (15-64),High Income,73.33,Semi-urban
1518,Children (0-14),Middle Income,44.99,Urban
1519,Children (0-14),High Income,85.14,Rural
1520,Adults (15-64),High Income,57.16,Rural
1521,Elderly (65+),Middle Income,80.72,Semi-urban
1522,Elderly (65+),Middle Income,85.73,Urban
1523,Adults (15-64),High Income,57.25,Rural
1524,Elderly (65+),Middle Income,67.92,Semi-urban
1525,Elderly (65+),Low Income,42.62,Semi-urban
1526,Elderly (65+),Middle Income,71.34,Semi-urban
1527,Children (0-14),High Income,66.01,Semi-urban
1528,Elderly (65+),High Income,82.68,Urban
1529,Children (0-14),Middle Income,54.18,Rural
1530,Adults (15-64),Middle Income,42.98,Urban
1531,Children (0-14),High Income,67.32,Urban
1532,Children (0-14),Low Income,83.18,Semi-urban
1533,Adults (15-64),High Income,88.24,Rural
1534,Adults (15-64),High Income,66.64,Semi-urban
1535,Adults (15-64),Low Income,76.91,Urban
1536,Adults (15-64),High Income,68.91,Rural
1537,Adults (15-64),Low Income,77.96,Rural
1538,Children (0-14),Middle Income,49.67,Urban
1539,Children (0-14),Low Income,83.55,Rural
1540,Adults (15-64),Low Income,59.22,Semi-urban
1541,Adults (15-64),Middle Income,51.83,Urban
1542,Adults (15-64),High Income,90.9,Rural
1543,Adults (15-64),Low Income,74.36,Rural
1544,Elderly (65+),High Income,71.06,Rural
1545,Adults (15-64),Low Income,75.04,Rural
1546,Adults (15-64),High Income,40.23,Rural
1547,Elderly (65+),Middle Income,90.27,Urban
1548,Adults (15-64),Low Income,54.49,Rural
1549,Children (0-14),High Income,87.53,Urban
1550,Children (0-14),Middle Income,71.85,Rural
1551,Adults (15-64),High Income,57.9,Rural
1552,Elderly (65+),Low Income,78.58,Rural
1553,Elderly (65+),Low Income,41.62,Semi-urban
1554,Elderly (65+),Middle Income,72.08,Urban
1555,Children (0-14),High Income,54.95,Urban
1556,Children (0-14),Low Income,91.64,Urban
1557,Children (0-14),Low Income,78.04,Semi-urban
1558,Adults (15-64),High Income,47.18,Urban
1559,Adults (15-64),High Income,93.32,Urban
1560,Adults (15-64),Low Income,57.47,Urban
1561,Children (0-14),Middle Income,66.72,Rural
1562,Children (0-14),High Income,76.15,Semi-urban
1563,Elderly (65+),Middle Income,71.54,Rural
1564,Elderly (65+),Middle Income,71.84,Semi-urban
1565,Children (0-14),Low Income,40.43,Urban
1566,Children (0-14),High Income,65.59,Semi-urban
1567,Adults (15-64),High Income,42.41,Rural
1568,Children (0-14),Low Income,75.87,Urban
1569,Children (0-14),Low Income,42.97,Rural
1570,Children (0-14),Middle Income,45.79,Urban
1571,Adults (15-64),High Income,83.66,Rural
1572,Adults (15-64),Low Income,63.87,Rural
1573,Adults (15-64),Low Income,67.09,Semi-urban
1574,Adults (15-64),Low Income,56.29,Rural
1575,Elderly (65+),Low Income,84.72,Urban
1576,Elderly (65+),Middle Income,80.95,Semi-urban
1577,Children (0-14),Middle Income,52.73,Urban
1578,Adults (15-64),High Income,54.47,Urban
1579,Elderly (65+),Low Income,86.59,Urban
1580,Adults (15-64),High Income,80.3,Urban
1581,Adults (15-64),Low Income,74.15,Urban
1582,Elderly (65+),Low Income,41.0,Rural
1583,Adults (15-64),Low Income,90.87,Urban
1584,Adults (15-64),Low Income,42.56,Rural
1585,Elderly (65+),High Income,47.53,Urban
1586,Adults (15-64),Middle Income,86.56,Semi-urban
1587,Elderly (65+),High Income,66.3,Semi-urban
1588,Children (0-14),High Income,75.91,Semi-urban
1589,Children (0-14),Middle Income,45.36,Urban
1590,Children (0-14),Low Income,92.15,Rural
1591,Children (0-14),High Income,85.92,Semi-urban
1592,Elderly (65+),Low Income,58.57,Urban
1593,Children (0-14),High Income,43.47,Semi-urban
1594,Children (0-14),Middle Income,64.87,Semi-urban
1595,Elderly (65+),Low Income,43.14,Rural
1596,Adults (15-64),High Income,48.24,Rural
1597,Adults (15-64),High Income,75.98,Semi-urban
1598,Children (0-14),Middle Income,57.62,Semi-urban
1599,Children (0-14),High Income,91.61,Urban
1600,Children (0-14),Low Income,49.44,Urban
1601,Elderly (65+),High Income,63.56,Semi-urban
1602,Elderly (65+),High Income,81.6,Rural
1603,Elderly (65+),High Income,77.45,Urban
1604,Elderly (65+),Low Income,41.03,Rural
1605,Elderly (65+),Middle Income,94.66,Rural
1606,Adults (15-64),Low Income,89.14,Rural
1607,Elderly (65+),Low Income,48.7,Semi-urban
1608,Adults (15-64),Middle Income,92.37,Urban
1609,Adults (15-64),Middle Income,60.76,Rural
1610,Adults (15-64),Low Income,88.31,Rural
1611,Elderly (65+),Middle Income,77.42,Rural
1612,Adults (15-64),High Income,47.55,Rural
1613,Children (0-14),Low Income,66.44,Rural
1614,Elderly (65+),High Income,75.32,Rural
1615,Children (0-14),Low Income,90.43,Semi-urban
1616,Children (0-14),Low Income,72.78,Urban
1617,Adults (15-64),Low Income,71.89,Urban
1618,Children (0-14),High Income,87.72,Semi-urban
1619,Children (0-14),Middle Income,49.4,Semi-urban
1620,Elderly (65+),Low Income,43.33,Urban
1621,Elderly (65+),Low Income,49.96,Rural
1622,Children (0-14),Middle Income,77.82,Semi-urban
1623,Children (0-14),Low Income,55.42,Rural
1624,Elderly (65+),High Income,80.18,Semi-urban
1625,Children (0-14),Middle Income,69.99,Semi-urban
1626,Elderly (65+),Middle Income,48.84,Rural
1627,Children (0-14),Low Income,74.64,Rural
1628,Children (0-14),Low Income,73.82,Semi-urban
1629,Children (0-14),Middle Income,72.43,Urban
1630,Elderly (65+),Middle Income,63.44,Rural
1631,Adults (15-64),High Income,83.75,Urban
1632,Adults (15-64),Middle Income,64.79,Semi-urban
1633,Children (0-14),High Income,42.7,Semi-urban
1634,Elderly (65+),High Income,56.6,Semi-urban
1635,Elderly (65+),Middle Income,59.18,Urban
1636,Adults (15-64),High Income,83.3,Semi-urban
1637,Adults (15-64),Low Income,41.24,Semi-urban
1638,Elderly (65+),Middle Income,63.83,Semi-urban
1639,Children (0-14),Middle Income,43.89,Rural
1640,Elderly (65+),Middle Income,54.08,Semi-urban
1641,Children (0-14),High Income,55.38,Semi-urban
1642,Elderly (65+),Low Income,90.31,Rural
1643,Adults (15-64),Low Income,40.59,Rural
1644,Adults (15-64),Low Income,82.32,Semi-urban
1645,Elderly (65+),Low Income,45.05,Rural
1646,Adults (15-64),Low Income,55.91,Semi-urban
1647,Elderly (65+),High Income,92.76,Semi-urban
1648,Elderly (65+),Middle Income,67.45,Urban
1649,Adults (15-64),High Income,60.99,Urban
1650,Children (0-14),Low Income,72.43,Urban
1651,Elderly (65+),Middle Income,70.85,Urban
1652,Adults (15-64),High Income,64.15,Rural
1653,Adults (15-64),Middle Income,78.81,Urban
1654,Children (0-14),High Income,66.34,Urban
1655,Adults (15-64),High Income,44.3,Urban
1656,Adults (15-64),High Income,75.18,Semi-urban
1657,Children (0-14),Middle Income,64.18,Semi-urban
1658,Elderly (65+),Low Income,81.19,Semi-urban
1659,Children (0-14),High Income,94.95,Urban
1660,Elderly (65+),Low Income,64.49,Semi-urban
1661,Children (0-14),High Income,49.53,Rural
1662,Adults (15-64),Middle Income,66.9,Rural
1663,Children (0-14),Low Income,56.94,Semi-urban
1664,Adults (15-64),Middle Income,42.11,Semi-urban
1665,Elderly (65+),Low Income,79.55,Rural
1666,Adults (15-64),Middle Income,52.37,Semi-urban
1667,Elderly (65+),Middle Income,88.53,Semi-urban
1668,Children (0-14),High Income,56.57,Urban
1669,Elderly (65+),Low Income,78.05,Urban
1670,Adults (15-64),High Income,58.75,Rural
1671,Elderly (65+),High Income,53.9,Semi-urban
1672,Adults (15-64),Low Income,90.65,Semi-urban
1673,Adults (15-64),High Income,93.35,Rural
1674,Adults (15-64),Middle Income,57.39,Urban
1675,Elderly (65+),Low Income,74.12,Semi-urban
1676,Children (0-14),High Income,44.55,Semi-urban
1677,Adults (15-64),Middle Income,59.95,Urban
1678,Adults (15-64),Low Income,44.54,Rural
1679,Elderly (65+),Low Income,66.98,Rural
1680,Adults (15-64),Middle Income,51.65,Semi-urban
1681,Children (0-14),Middle Income,82.7,Semi-urban
1682,Children (0-14),Middle Income,72.17,Semi-urban
1683,Children (0-14),Middle Income,66.36,Rural
1684,Elderly (65+),High Income,57.68,Urban
1685,Adults (15-64),High Income,86.4,Urban
1686,Elderly (65+),Middle Income,50.55,Rural
1687,Children (0-14),Middle Income,83.37,Semi-urban
1688,Adults (15-64),High Income,66.18,Semi-urban
1689,Elderly (65+),Low Income,79.75,Urban
1690,Children (0-14),Middle Income,53.11,Urban
1691,Children (0-14),High Income,82.53,Rural
1692,Children (0-14),Middle Income,49.72,Semi-urban
1693,Elderly (65+),High Income,87.91,Semi-urban
1694,Children (0-14),High Income,84.1,Urban
1695,Adults (15-64),Low Income,49.32,Rural
1696,Adults (15-64),Middle Income,75.91,Urban
1697,Elderly (65+),Middle Income,81.78,Semi-urban
1698,Elderly (65+),Middle Income,83.55,Rural
1699,Children (0-14),Low Income,69.88,Rural
1700,Elderly (65+),Middle Income,84.3,Urban
1701,Elderly (65+),Low Income,68.98,Semi-urban
1702,Adults (15-64),Middle Income,94.79,Rural
1703,Elderly (65+),High Income,68.58,Rural
1704,Children (0-14),Low Income,68.49,Rural
1705,Elderly (65+),High Income,43.43,Rural
1706,Children (0-14),High Income,55.46,Urban
1707,Adults (15-64),Low Income,43.54,Urban
1708,Elderly (65+),High Income,69.9,Rural
1709,Elderly (65+),High Income,83.09,Semi-urban
1710,Children (0-14),High Income,46.4,Urban
1711,Adults (15-64),Low Income,69.94,Semi-urban
1712,Children (0-14),Middle Income,40.46,Semi-urban
1713,Children (0-14),Low Income,86.69,Semi-urban
1714,Elderly (65+),Low Income,41.68,Urban
1715,Elderly (65+),Middle Income,62.73,Urban
1716,Children (0-14),High Income,91.93,Rural
1717,Elderly (65+),Low Income,66.01,Semi-urban
1718,Elderly (65+),High Income,46.4,Urban
1719,Children (0-14),Middle Income,49.82,Rural
1720,Children (0-14),Middle Income,63.26,Semi-urban
1721,Elderly (65+),Middle Income,80.42,Semi-urban
1722,Elderly (65+),Middle Income,66.79,Rural
1723,Adults (15-64),Low Income,41.76,Semi-urban
1724,Adults (15-64),High Income,82.22,Semi-urban
1725,Elderly (65+),Middle Income,82.32,Semi-urban
1726,Adults (15-64),Low Income,91.69,Urban
1727,Elderly (65+),High Income,59.83,Urban
1728,Children (0-14),High Income,63.65,Rural
1729,Children (0-14),High Income,44.52,Urban
1730,Children (0-14),High Income,55.52,Rural
1731,Children (0-14),Middle Income,77.18,Rural
1732,Children (0-14),Low Income,45.29,Urban
1733,Children (0-14),Low Income,59.67,Semi-urban
1734,Children (0-14),High Income,53.38,Rural
1735,Adults (15-64),Middle Income,64.56,Rural
1736,Elderly (65+),Middle Income,70.68,Semi-urban
1737,Adults (15-64),Low Income,62.46,Rural
